"","AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"121","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1303502,"Pauini",6746.12,6690.27,6617.83,7646.67,8399.85,8477.58,8468.86,8438.03,7932.34,7350.59,7690.77
"122","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1303536,"Presidente Figueiredo",14977.68,14679.28,14202.5,15086.41,16200.41,16005.88,15450.46,15038.43,13826.16,12544.26,12865.71
"123","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1303569,"Rio Preto da Eva",12664.97,12408.25,11997.1,13754.67,14818.41,14684.42,14241.66,13905.59,12822.02,11664.85,11994.13
"124","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1303601,"Santa Isabel do Rio Negro",5944.03,5797.69,5560.27,6228.16,6658.94,6553.03,6287.1,6094.24,5582.05,5047.05,5159.77
"125","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1303700,"Santo Antônio do Içá",4838.68,4806.81,4770.53,6495.95,7108,7147.04,7631.73,7752.62,7428.87,7014.92,7477.53
"126","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1303809,"São Gabriel da Cachoeira",6572.15,6458.96,6281.3,7625.12,8280.94,8267.53,8114.23,7986.33,7419.97,6798.56,7037.06
"127","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1303908,"São Paulo de Olivença",6282.9,6170.24,5992.68,6903.67,7466.72,7425.93,7243.44,7099.56,6570.1,5997.41,6186.16
"128","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1303957,"São Sebastião do Uatumã",9540.51,9403.24,9194.98,8743.44,9408.6,9314.15,9019.56,8797.18,8103.7,7365.3,7566.8
"129","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1304005,"Silves",9618.76,9546.64,9458.15,10509.95,11528.28,11618.95,11581.35,11521.52,10814.19,10005.26,10453.7
"130","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1304062,"Tabatinga",8361.77,8249.75,8080.91,8141.3,8798.58,8744.28,8519.8,8344.18,7716.37,7039.03,7255.96
"131","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1304104,"Tapauá",14286.25,14265.73,14298.9,16369.24,19133.93,19511.56,19831.78,20006.61,19036.76,17851.9,18896.71
"132","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1304203,"Tefé",9709.33,9676.84,9664.29,11170.4,12373.04,12588.13,12743.95,12819.94,12164.66,11375.49,12008.84
"133","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1304237,"Tonantins",5318.94,5240.53,5120.78,6680.4,7320.07,7370.49,7333.99,7287.36,6832.64,6314.86,6590.99
"134","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1304260,"Uarini",15507.84,15468.74,15474.64,14447.73,15776.16,15831.22,15668,15509.26,14488.72,13344.71,13881.44
"135","Economia","TX_IBGE_PIB_PC_MUN","Amazonas",1304302,"Urucará",15556.08,15626.2,15850.27,16070.6,17836.45,18180.96,18466.75,18621.42,17711.75,16600.75,17566.01
